"param","importance","dataset","imputation","time_taken"
"min_samples_leaf",0.532468850804696,"phpTJRsqa.csv","False",109.196121432993
"min_samples_split",0.0222325229809145,"phpTJRsqa.csv","False",109.196121432993
"('min_samples_leaf', 'min_samples_split')",0.0665843145789863,"phpTJRsqa.csv","False",109.196121432993
"('max_features', 'min_samples_leaf')",0.0590277849856645,"phpTJRsqa.csv","False",109.196121432993
"('max_features', 'min_samples_split')",0.0250821513525587,"phpTJRsqa.csv","False",109.196121432993
"('criterion', 'max_features')",0.00471935269980587,"phpTJRsqa.csv","False",109.196121432993
"('criterion', 'min_samples_leaf')",0.00349095010183239,"phpTJRsqa.csv","False",109.196121432993
"('criterion', 'min_samples_split')",0.00192576205458466,"phpTJRsqa.csv","False",109.196121432993
"('criterion', 'max_features', 'min_samples_leaf')",0.0106968681157354,"phpTJRsqa.csv","False",109.196121432993
"criterion",0.00123839103081362,"dataset_6_letter.csv","False",98.5510770760011
"max_features",0.610300598710917,"dataset_6_letter.csv","False",98.5510770760011
"min_samples_leaf",0.260574974559699,"dataset_6_letter.csv","False",98.5510770760011
"min_samples_split",0.00356889686787435,"dataset_6_letter.csv","False",98.5510770760011
"('max_features', 'min_samples_leaf')",0.0416098604375815,"dataset_6_letter.csv","False",98.5510770760011
"('max_features', 'min_samples_split')",0.0224744644607022,"dataset_6_letter.csv","False",98.5510770760011
"('min_samples_leaf', 'min_samples_split')",0.011921867773533,"dataset_6_letter.csv","False",98.5510770760011
"('criterion', 'max_features')",0.00340027890789306,"dataset_6_letter.csv","False",98.5510770760011
"('criterion', 'min_samples_leaf')",0.0014035360598159,"dataset_6_letter.csv","False",98.5510770760011
"('criterion', 'min_samples_split')",0.000761332181959608,"dataset_6_letter.csv","False",98.5510770760011
"('criterion', 'max_features', 'min_samples_leaf')",0.00563539671688216,"dataset_6_letter.csv","False",98.5510770760011
"criterion",0.00733331240103479,"dataset_42_soybean.csv","False",102.028615655028
"max_features",0.145150734061529,"dataset_42_soybean.csv","False",102.028615655028
"min_samples_leaf",0.689742086745168,"dataset_42_soybean.csv","False",102.028615655028
"min_samples_split",0.00353229597489162,"dataset_42_soybean.csv","False",102.028615655028
"('max_features', 'min_samples_leaf')",0.046069057377922,"dataset_42_soybean.csv","False",102.028615655028
"('max_features', 'min_samples_split')",0.0131722714576525,"dataset_42_soybean.csv","False",102.028615655028
"('min_samples_leaf', 'min_samples_split')",0.0126010822888215,"dataset_42_soybean.csv","False",102.028615655028
"('criterion', 'max_features')",0.00867631529233774,"dataset_42_soybean.csv","False",102.028615655028
"('criterion', 'min_samples_leaf')",0.00851677302849259,"dataset_42_soybean.csv","False",102.028615655028
"('criterion', 'min_samples_split')",0.00190888790026514,"dataset_42_soybean.csv","False",102.028615655028
"('criterion', 'max_features', 'min_samples_leaf')",0.0151779444640285,"dataset_42_soybean.csv","False",102.028615655028
