param,importance,dataset,imputation,time_taken
"('bootstrap', 'max_features', 'min_samples_split')",0.005743390159001625,phpSRnbqC.csv,False,3.7401648039813153
bootstrap,0.021968162176513865,fri_c3_500_10.csv,False,177.66787939495407
criterion,0.0002687361291052651,fri_c3_500_10.csv,False,177.66787939495407
max_features,0.7307935777049589,fri_c3_500_10.csv,False,177.66787939495407
min_samples_leaf,0.1480649459485822,fri_c3_500_10.csv,False,177.66787939495407
min_samples_split,0.0013208031959729026,fri_c3_500_10.csv,False,177.66787939495407
"('max_features', 'min_samples_leaf')",0.03834162538757744,fri_c3_500_10.csv,False,177.66787939495407
"('max_features', 'min_samples_split')",0.00625249076656704,fri_c3_500_10.csv,False,177.66787939495407
"('bootstrap', 'min_samples_leaf')",0.00570186060205388,fri_c3_500_10.csv,False,177.66787939495407
"('bootstrap', 'max_features')",0.004502850345017236,fri_c3_500_10.csv,False,177.66787939495407
"('min_samples_leaf', 'min_samples_split')",0.0038716225913205233,fri_c3_500_10.csv,False,177.66787939495407
"('criterion', 'max_features')",0.002057493558094202,fri_c3_500_10.csv,False,177.66787939495407
"('bootstrap', 'min_samples_split')",0.0007703113881501091,fri_c3_500_10.csv,False,177.66787939495407
"('criterion', 'min_samples_leaf')",0.0006968273160819053,fri_c3_500_10.csv,False,177.66787939495407
"('criterion', 'min_samples_split')",0.00031418975309742414,fri_c3_500_10.csv,False,177.66787939495407
"('bootstrap', 'criterion')",0.0001743443158296381,fri_c3_500_10.csv,False,177.66787939495407
"('bootstrap', 'max_features', 'min_samples_leaf')",0.008426660771436539,fri_c3_500_10.csv,False,177.66787939495407
"('bootstrap', 'max_features', 'min_samples_split')",0.0019379063587039213,fri_c3_500_10.csv,False,177.66787939495407
bootstrap,0.00029750297159827,kc2.csv,False,158.92820099100936
criterion,0.0002330197411584806,kc2.csv,False,158.92820099100936
max_features,0.5449369995148539,kc2.csv,False,158.92820099100936
min_samples_leaf,0.09242609695650986,kc2.csv,False,158.92820099100936
min_samples_split,0.0044691615305453535,kc2.csv,False,158.92820099100936
"('max_features', 'min_samples_leaf')",0.24618767396827726,kc2.csv,False,158.92820099100936
"('max_features', 'min_samples_split')",0.020049081559402375,kc2.csv,False,158.92820099100936
"('min_samples_leaf', 'min_samples_split')",0.012397548880484626,kc2.csv,False,158.92820099100936
"('bootstrap', 'max_features')",0.0029262771296681,kc2.csv,False,158.92820099100936
"('criterion', 'max_features')",0.0023703878855280444,kc2.csv,False,158.92820099100936
"('criterion', 'min_samples_leaf')",0.0016963982905642474,kc2.csv,False,158.92820099100936
"('bootstrap', 'min_samples_leaf')",0.0012603438252721754,kc2.csv,False,158.92820099100936
"('criterion', 'min_samples_split')",0.0010475944193324659,kc2.csv,False,158.92820099100936
"('bootstrap', 'min_samples_split')",0.0007702610652725156,kc2.csv,False,158.92820099100936
"('bootstrap', 'criterion')",4.4319409279877554e-05,kc2.csv,False,158.92820099100936
"('bootstrap', 'max_features', 'min_samples_leaf')",0.006102542429295673,kc2.csv,False,158.92820099100936
"('bootstrap', 'max_features', 'min_samples_split')",0.0036265604604973404,kc2.csv,False,158.92820099100936
bootstrap,0.015760008108551077,phpRql5hp.csv,False,203.64629945805063
criterion,0.00031919117782025654,phpRql5hp.csv,False,203.64629945805063
max_features,0.04257218156132904,phpRql5hp.csv,False,203.64629945805063
min_samples_leaf,0.7576951049544642,phpRql5hp.csv,False,203.64629945805063
min_samples_split,0.0019198843573204401,phpRql5hp.csv,False,203.64629945805063
"('max_features', 'min_samples_leaf')",0.05022658338612017,phpRql5hp.csv,False,203.64629945805063
"('bootstrap', 'min_samples_leaf')",0.04523185139243603,phpRql5hp.csv,False,203.64629945805063
"('min_samples_leaf', 'min_samples_split')",0.009212217393083387,phpRql5hp.csv,False,203.64629945805063
"('bootstrap', 'max_features')",0.006266465590375417,phpRql5hp.csv,False,203.64629945805063
"('max_features', 'min_samples_split')",0.005607750574951803,phpRql5hp.csv,False,203.64629945805063
"('bootstrap', 'min_samples_split')",0.0014603899106816508,phpRql5hp.csv,False,203.64629945805063
"('criterion', 'min_samples_leaf')",0.0013729761999483707,phpRql5hp.csv,False,203.64629945805063
"('criterion', 'max_features')",0.0009648245522074321,phpRql5hp.csv,False,203.64629945805063
"('criterion', 'min_samples_split')",0.00035157565320144624,phpRql5hp.csv,False,203.64629945805063
"('bootstrap', 'criterion')",0.00019833566653635143,phpRql5hp.csv,False,203.64629945805063
"('bootstrap', 'max_features', 'min_samples_leaf')",0.01733769649544753,phpRql5hp.csv,False,203.64629945805063
"('bootstrap', 'max_features', 'min_samples_split')",0.0027443417343117065,phpRql5hp.csv,False,203.64629945805063
bootstrap,0.06579056237455055,php50jXam.csv,False,189.2985521919909
criterion,0.0002795376240192075,php50jXam.csv,False,189.2985521919909
max_features,0.20225834539206877,php50jXam.csv,False,189.2985521919909
min_samples_leaf,0.49525918720399476,php50jXam.csv,False,189.2985521919909
min_samples_split,0.0024912474697188344,php50jXam.csv,False,189.2985521919909
"('max_features', 'min_samples_leaf')",0.12161838387065893,php50jXam.csv,False,189.2985521919909
"('bootstrap', 'min_samples_leaf')",0.03666558550004785,php50jXam.csv,False,189.2985521919909
"('bootstrap', 'max_features')",0.01726196836412373,php50jXam.csv,False,189.2985521919909
"('min_samples_leaf', 'min_samples_split')",0.004793087930936253,php50jXam.csv,False,189.2985521919909
"('max_features', 'min_samples_split')",0.0031087723462067413,php50jXam.csv,False,189.2985521919909
"('bootstrap', 'min_samples_split')",0.001157430186036815,php50jXam.csv,False,189.2985521919909
"('criterion', 'min_samples_leaf')",0.0011523520911653384,php50jXam.csv,False,189.2985521919909
"('criterion', 'max_features')",0.0005430770555372706,php50jXam.csv,False,189.2985521919909
