param,importance,dataset,imputation,time_taken
"('bootstrap', 'max_features')",0.03611369871501044,phplE7q6h.csv,False,290.78123060001235
"('max_features', 'min_samples_leaf')",0.030516730458101552,phplE7q6h.csv,False,290.78123060001235
"('min_samples_leaf', 'min_samples_split')",0.012495030645186783,phplE7q6h.csv,False,290.78123060001235
"('bootstrap', 'min_samples_leaf')",0.0065961757954015885,phplE7q6h.csv,False,290.78123060001235
"('criterion', 'min_samples_leaf')",0.003259150001842609,phplE7q6h.csv,False,290.78123060001235
"('max_features', 'min_samples_split')",0.0031182757710674818,phplE7q6h.csv,False,290.78123060001235
"('criterion', 'max_features')",0.0027434959744844214,phplE7q6h.csv,False,290.78123060001235
"('bootstrap', 'min_samples_split')",0.0012300857103566866,phplE7q6h.csv,False,290.78123060001235
"('criterion', 'min_samples_split')",0.0007392773390912908,phplE7q6h.csv,False,290.78123060001235
"('bootstrap', 'criterion')",0.0005077118422717812,phplE7q6h.csv,False,290.78123060001235
"('bootstrap', 'max_features', 'min_samples_leaf')",0.01833935663470391,phplE7q6h.csv,False,290.78123060001235
"('bootstrap', 'max_features', 'min_samples_split')",0.001937631687194192,phplE7q6h.csv,False,290.78123060001235
bootstrap,0.04314399214069563,gina_agnostic.csv,False,265.77917278700625
criterion,0.05114626689474336,gina_agnostic.csv,False,265.77917278700625
max_features,0.3851825713864083,gina_agnostic.csv,False,265.77917278700625
min_samples_leaf,0.17541930059737565,gina_agnostic.csv,False,265.77917278700625
min_samples_split,0.001543843416455251,gina_agnostic.csv,False,265.77917278700625
"('bootstrap', 'max_features')",0.18432707750545985,gina_agnostic.csv,False,265.77917278700625
"('max_features', 'min_samples_leaf')",0.031072979504111597,gina_agnostic.csv,False,265.77917278700625
"('criterion', 'max_features')",0.01131572797324537,gina_agnostic.csv,False,265.77917278700625
"('criterion', 'min_samples_leaf')",0.008779211131853544,gina_agnostic.csv,False,265.77917278700625
"('bootstrap', 'min_samples_leaf')",0.007763974006460457,gina_agnostic.csv,False,265.77917278700625
"('max_features', 'min_samples_split')",0.006862917219519039,gina_agnostic.csv,False,265.77917278700625
"('min_samples_leaf', 'min_samples_split')",0.002616117146344726,gina_agnostic.csv,False,265.77917278700625
"('criterion', 'min_samples_split')",0.000996475656051783,gina_agnostic.csv,False,265.77917278700625
"('bootstrap', 'criterion')",0.0009807300442606047,gina_agnostic.csv,False,265.77917278700625
"('bootstrap', 'min_samples_split')",0.0008512668596459636,gina_agnostic.csv,False,265.77917278700625
"('bootstrap', 'max_features', 'min_samples_leaf')",0.01809068386283208,gina_agnostic.csv,False,265.77917278700625
"('bootstrap', 'max_features', 'min_samples_split')",0.00417576821088087,gina_agnostic.csv,False,265.77917278700625
bootstrap,0.20175963200675046,eye_movements.csv,False,303.80832520200056
criterion,0.00011120947921961947,eye_movements.csv,False,303.80832520200056
max_features,0.07692318423133611,eye_movements.csv,False,303.80832520200056
min_samples_leaf,0.5808803415111907,eye_movements.csv,False,303.80832520200056
min_samples_split,0.0034778167960898896,eye_movements.csv,False,303.80832520200056
"('bootstrap', 'max_features')",0.04477370432453718,eye_movements.csv,False,303.80832520200056
"('max_features', 'min_samples_leaf')",0.01952349418003078,eye_movements.csv,False,303.80832520200056
"('min_samples_leaf', 'min_samples_split')",0.011788970511067413,eye_movements.csv,False,303.80832520200056
"('bootstrap', 'min_samples_leaf')",0.009012357425502002,eye_movements.csv,False,303.80832520200056
"('max_features', 'min_samples_split')",0.0021677576778155634,eye_movements.csv,False,303.80832520200056
"('criterion', 'min_samples_leaf')",0.0013831464127507505,eye_movements.csv,False,303.80832520200056
"('bootstrap', 'min_samples_split')",0.0012387551404130946,eye_movements.csv,False,303.80832520200056
"('criterion', 'max_features')",0.0006446488192198931,eye_movements.csv,False,303.80832520200056
"('bootstrap', 'criterion')",0.00030345815799534076,eye_movements.csv,False,303.80832520200056
"('criterion', 'min_samples_split')",0.00024292844254209314,eye_movements.csv,False,303.80832520200056
"('bootstrap', 'max_features', 'min_samples_leaf')",0.01669088738388235,eye_movements.csv,False,303.80832520200056
"('bootstrap', 'max_features', 'min_samples_split')",0.001817375148375238,eye_movements.csv,False,303.80832520200056
bootstrap,0.01023483144140637,aaaData_for_UCI_named.csv,False,33.34485531899554
criterion,0.0032135190228866272,aaaData_for_UCI_named.csv,False,33.34485531899554
max_features,0.09492227762405182,aaaData_for_UCI_named.csv,False,33.34485531899554
min_samples_leaf,0.0317648647283345,aaaData_for_UCI_named.csv,False,33.34485531899554
min_samples_split,0.026194636133231423,aaaData_for_UCI_named.csv,False,33.34485531899554
"('max_features', 'min_samples_leaf')",0.10745927508469211,aaaData_for_UCI_named.csv,False,33.34485531899554
"('max_features', 'min_samples_split')",0.09970224813587736,aaaData_for_UCI_named.csv,False,33.34485531899554
"('min_samples_leaf', 'min_samples_split')",0.06111513537487881,aaaData_for_UCI_named.csv,False,33.34485531899554
"('bootstrap', 'max_features')",0.04308719896548958,aaaData_for_UCI_named.csv,False,33.34485531899554
"('criterion', 'max_features')",0.023964911970273145,aaaData_for_UCI_named.csv,False,33.34485531899554
"('bootstrap', 'min_samples_leaf')",0.02114953968333981,aaaData_for_UCI_named.csv,False,33.34485531899554
"('bootstrap', 'min_samples_split')",0.016904814330084603,aaaData_for_UCI_named.csv,False,33.34485531899554
"('criterion', 'min_samples_leaf')",0.011294939765039296,aaaData_for_UCI_named.csv,False,33.34485531899554
"('criterion', 'min_samples_split')",0.010835695225050252,aaaData_for_UCI_named.csv,False,33.34485531899554
"('bootstrap', 'criterion')",0.0026438454336316056,aaaData_for_UCI_named.csv,False,33.34485531899554
"('bootstrap', 'max_features', 'min_samples_leaf')",0.05541935165605191,aaaData_for_UCI_named.csv,False,33.34485531899554
"('bootstrap', 'max_features', 'min_samples_split')",0.041276818136150153,aaaData_for_UCI_named.csv,False,33.34485531899554
bootstrap,0.16633265821050336,phpfLuQE4.csv,False,242.43888834599056
criterion,0.0015437035023383421,phpfLuQE4.csv,False,242.43888834599056
max_features,0.36326603462332696,phpfLuQE4.csv,False,242.43888834599056
min_samples_leaf,0.04741356327096474,phpfLuQE4.csv,False,242.43888834599056
min_samples_split,0.0033966476102939647,phpfLuQE4.csv,False,242.43888834599056
"('bootstrap', 'max_features')",0.2899033383163583,phpfLuQE4.csv,False,242.43888834599056
"('max_features', 'min_samples_leaf')",0.021630788690831206,phpfLuQE4.csv,False,242.43888834599056
"('max_features', 'min_samples_split')",0.010732254368082901,phpfLuQE4.csv,False,242.43888834599056
"('min_samples_leaf', 'min_samples_split')",0.005789201010152832,phpfLuQE4.csv,False,242.43888834599056
"('bootstrap', 'min_samples_leaf')",0.004274342066685377,phpfLuQE4.csv,False,242.43888834599056
"('criterion', 'max_features')",0.003353062610155299,phpfLuQE4.csv,False,242.43888834599056
"('bootstrap', 'min_samples_split')",0.002237072293464027,phpfLuQE4.csv,False,242.43888834599056
"('criterion', 'min_samples_leaf')",0.002125635458896296,phpfLuQE4.csv,False,242.43888834599056
"('bootstrap', 'criterion')",0.0012291705741240672,phpfLuQE4.csv,False,242.43888834599056
"('criterion', 'min_samples_split')",0.00044674615545209324,phpfLuQE4.csv,False,242.43888834599056
"('bootstrap', 'max_features', 'min_samples_leaf')",0.018769032987115575,phpfLuQE4.csv,False,242.43888834599056
"('bootstrap', 'max_features', 'min_samples_split')",0.009353539401337964,phpfLuQE4.csv,False,242.43888834599056
bootstrap,0.013968202088965438,avila-tr.csv,False,299.33872284200334
criterion,0.012057823453303567,avila-tr.csv,False,299.33872284200334
max_features,0.7831319847429473,avila-tr.csv,False,299.33872284200334
min_samples_leaf,0.07741151612346331,avila-tr.csv,False,299.33872284200334
min_samples_split,0.0007473070577725786,avila-tr.csv,False,299.33872284200334
"('max_features', 'min_samples_leaf')",0.053590339053965416,avila-tr.csv,False,299.33872284200334
"('bootstrap', 'min_samples_leaf')",0.00719794347063067,avila-tr.csv,False,299.33872284200334
"('bootstrap', 'max_features')",0.006560356525742123,avila-tr.csv,False,299.33872284200334
"('criterion', 'max_features')",0.005328519482692101,avila-tr.csv,False,299.33872284200334
"('criterion', 'min_samples_leaf')",0.004025898768281046,avila-tr.csv,False,299.33872284200334
"('max_features', 'min_samples_split')",0.002592337175302742,avila-tr.csv,False,299.33872284200334
"('min_samples_leaf', 'min_samples_split')",0.0017931415470201866,avila-tr.csv,False,299.33872284200334
"('bootstrap', 'criterion')",0.0006941237786370835,avila-tr.csv,False,299.33872284200334
"('criterion', 'min_samples_split')",0.0003447606568729438,avila-tr.csv,False,299.33872284200334
"('bootstrap', 'min_samples_split')",0.00028719733933928415,avila-tr.csv,False,299.33872284200334
"('bootstrap', 'max_features', 'min_samples_leaf')",0.00703607216529131,avila-tr.csv,False,299.33872284200334
"('bootstrap', 'max_features', 'min_samples_split')",0.001107172952877235,avila-tr.csv,False,299.33872284200334
bootstrap,0.17086406330107756,dataset_60_waveform-5000.csv,False,233.82265692899819
criterion,0.00029683062586228847,dataset_60_waveform-5000.csv,False,233.82265692899819
max_features,0.5650605554986796,dataset_60_waveform-5000.csv,False,233.82265692899819
min_samples_leaf,0.011324784555570637,dataset_60_waveform-5000.csv,False,233.82265692899819
min_samples_split,0.0011519030380117215,dataset_60_waveform-5000.csv,False,233.82265692899819
"('bootstrap', 'max_features')",0.17856987236043992,dataset_60_waveform-5000.csv,False,233.82265692899819
"('max_features', 'min_samples_leaf')",0.012519626428590976,dataset_60_waveform-5000.csv,False,233.82265692899819
"('max_features', 'min_samples_split')",0.0062572059299909315,dataset_60_waveform-5000.csv,False,233.82265692899819
"('criterion', 'max_features')",0.004578547951113871,dataset_60_waveform-5000.csv,False,233.82265692899819
"('bootstrap', 'min_samples_leaf')",0.0036542301758041183,dataset_60_waveform-5000.csv,False,233.82265692899819
