max_features,min_samples_leaf,min_samples_split,criterion,"('max_features', 'min_samples_leaf')","('max_features', 'min_samples_split')",dataset
0.17834236034548398,0.562212666694624,0.0207317382149409,0.000418291645019949,0.0587182718238347,0.0341805247408122,mozilla4.csv
0.616099834268617,0.237866074140091,0.0025536253691630603,0.008709170515467941,0.0530172101085304,0.0177752819122795,dataset_32_pendigits.csv
0.149004843649228,0.6278883851451421,0.00431571507701353,0.006107351863343429,0.0747717125901256,0.0169739640112838,dataset_24_mushroom.csv
0.6897331637409821,0.13454238734337,0.00453964268048255,0.00281889555466045,0.0612218482779613,0.0237318163160113,phpyM5ND4.csv
0.750984379188892,0.0841704604449519,0.00132964512969999,0.00219374227845831,0.0335204378472443,0.0142225614563981,dataset_38_sick.csv
0.0651339140883726,0.0636120670041982,0.00858994826884001,0.00106353454492936,0.0821194446088174,0.0440690127355947,lymphoma_2classes.csv
0.673562812113423,0.190397094084034,0.0038995983297727705,0.00152070451897964,0.0569374806655178,0.0207106616285534,dataset_3_kr-vs-kp.csv
0.835858563479432,0.0192674062650043,0.00364345782006605,0.0024150003889177396,0.0373761786280977,0.0165514098877545,phpcSeK3V.csv
0.482211878895397,0.365271411254361,0.0037699183669411,0.0159368537366465,0.0359529403958487,0.0136117057298094,dataset_28_optdigits.csv
0.618394718374436,0.212131741712614,0.00557705546259166,0.000692350023429365,0.0465698387882929,0.0168106776119142,php8Mz7BG.csv
0.0484246980763927,0.254683825608868,0.0283218261842613,0.00187736650602483,0.147263502362308,0.0661565841477373,phpEZ030X.csv
0.6928214965367641,0.12431181846037001,0.00394302298794228,0.00404499415266066,0.0607526158885215,0.0260859582866898,dataset_36_segment.csv
0.0675651819397336,0.573557757415647,0.0145537412635216,0.00174778018611335,0.11060997817846101,0.0256673910569396,phpd0f4kM.csv
0.8946364175263241,0.0297292236121203,0.00241815050584327,0.000584917767598926,0.0196181261704994,0.0102171162324365,jungle_chess_2pcs_raw_endgame_complete.csv
0.816854957204783,0.0438499979088973,0.00314186339907299,0.000926422308438323,0.0470687754919204,0.0314796976673454,phpVeNa5j.csv
0.10202801244991999,0.444360528191968,0.0104084884403952,0.007571441577042979,0.150119821569139,0.0424460292404494,phpZrCzJR.csv
0.10959207690865401,0.6196414786527951,0.00377623818533793,0.164713268427772,0.0208351848181398,0.00476504759515444,phpoOxxNn.csv
0.04153708186804599,0.800294528943312,0.0048000312757366,0.0138516888419358,0.0347226474653415,0.0102946548046568,php0FyS2T.csv
0.774661481627205,0.0580802928818841,0.00282384422496895,0.0072798948955176595,0.0662063710971116,0.0231997524172912,php9HX2u8(2).csv
0.851238285093712,0.0151348527055708,0.00709478196424023,0.00134514042892903,0.0380730124070694,0.0179419690509201,churn.csv
0.21281940488547302,0.63707534591081,0.0042540767620988205,0.00128135248303076,0.0536251652799218,0.0103732410968925,phptd5jYj.csv
0.6638512207186651,0.196012825630425,0.0038512950305146705,0.000707631716168803,0.0538940621128719,0.024225075921075,phpV5QYya.csv
0.19850840299813396,0.532468850804696,0.0222325229809145,0.000532202143494424,0.0590277849856645,0.0250821513525587,phpTJRsqa.csv
0.610300598710917,0.26057497455969897,0.00356889686787435,0.00123839103081362,0.0416098604375815,0.0224744644607022,dataset_6_letter.csv
0.14515073406152898,0.689742086745168,0.0035322959748916205,0.00733331240103479,0.046069057377922,0.0131722714576525,dataset_42_soybean.csv
0.19914490887902103,0.133262774639729,0.0209222225961904,0.0516638326251516,0.128143123638192,0.0619095655313361,phpgEDZOc.csv
0.8923975945775359,0.0341393244307934,0.0016311172662179698,0.00010141112952573399,0.0262019238809626,0.00909108817195637,phpfrJpBS.csv
0.8454850422081609,0.008389502345715609,0.0033259947953556603,0.000650349372093815,0.0359316566475349,0.0367466939597186,file7a97574fa9ae.csv
0.149332312740892,0.29608128080031393,0.0100473638822885,0.11326710936836999,0.0964474828622986,0.0245260202072129,mfeat-pixel.csv
0.0550008443415129,0.809815057369647,0.007529966614645409,0.0067954542111129295,0.0235181639787991,0.0042192258600926,jm1.csv
0.6832181791927869,0.23432607948582396,0.00287763758088066,0.000397579540787864,0.0312166932251778,0.0096360992472496,dataset_188_kropt.csv
0.39901158395325104,0.22484973043677103,0.00453869879357404,0.117105262402088,0.0673145712747583,0.016617509376299997,dataset_44_spambase.csv
0.0630696694306888,0.16846527218509197,0.0251331715341582,0.0202790467706335,0.177019274723231,0.0649036013591167,phpdo58hj.csv
0.156633089802492,0.636902067832224,0.00378051648309149,0.0747637826705655,0.031548274383177005,0.00671676135060474,phpCsX3fx.csv
0.18944125591717298,0.16204888324553898,0.0119714405882056,0.124304896614445,0.050792748224602995,0.016463256392897,dataset_5_arrhythmia.csv
0.0504711599847195,0.471594285279104,0.0206914273128576,0.0192826240495037,0.0799844440891643,0.0385310979990511,phpdReP6S.csv
0.0849566670464122,0.457512448839265,0.0107613503838159,0.0741664932290149,0.0781400833193076,0.0166176618972297,phpWfYmlu.csv
0.07034691463423301,0.315568209764421,0.0197745592185775,0.00491734258420129,0.13660768514497998,0.0585810449037064,phpoW7Dbi.csv
0.421831474897063,0.43227429511928606,0.00261178774025826,0.0293708135274495,0.0451081723578541,0.00568228164004775,phphQEck0.csv
0.0165320965804363,0.7589336293194721,0.0256293039216987,0.0114152006132558,0.0378896796473086,0.014554425294639,phpkIxskf.csv
0.43416455692885103,0.145028426546995,0.0145148087519758,0.0019078032742754,0.0979385428049299,0.0501783823640967,dataset_186_satimage.csv
0.669191977717365,0.11044012335044802,0.00216176987293179,0.0833802915265948,0.0438123245533327,0.005916046407265179,phpGReJjU.csv
