gamma,kernel,"('gamma', 'kernel')","('coef0', 'gamma')","('gamma', 'imputation')","('imputation', 'kernel')","('coef0', 'imputation')","('C', 'imputation')","('imputation', 'tol')",dataset
0.226334393365604,0.1596945545804891,0.4021510018193566,0.03839058013269464,,,,,,phpWfYmlu.csv
0.09486065916097604,0.7730821747547911,0.09162228909169287,0.002636307130709251,,,,,,dataset_20_mfeat-pixel.csv
0.2965990279903113,0.4863743342252093,0.16223416612383051,0.00513597719587532,,,,,,dataset_28_optdigits.csv
0.538193550388786,0.1802819787178503,0.2177450522058939,0.008227876115355597,,,,,,phpGUrE90.csv
0.049082267592079364,0.9195239137907985,0.011839585004845629,0.0015650156489994266,,,,,,dataset_187_abalone.csv
0.0038913219359031563,0.971490596493602,0.00414260057077455,0.0008702200430383311,,,,,,dataset_189_baseball.csv
0.029143256813893532,0.7319018392701097,0.023084605364360758,0.01088349043228341,,,,,,dataset_31_credit-g.csv
0.07338077695555723,0.8377948342416452,0.04106139208739285,0.005824951895122259,,,,,,phpNevWWL.csv
0.08406983569705932,0.8226749856761384,0.07751694949623597,0.0013427023448930047,,,,,,phpAmSP4g.csv
0.006797212381757955,0.9495907702526598,0.01577471666071336,0.002364130103475053,,,,,,kc1.csv
0.02339687361926571,0.9570649744172036,0.013612119665744176,0.0002727525928766168,,,,,,analcatdata_authorship.csv
0.08489352353650782,0.8785743488889274,0.015893525603164132,0.002764078212919145,,,,,,php5OMDBD.csv
0.011350192601273242,0.9730116409691094,0.003225397930456252,0.0006239207965744682,,,,,,pc4.csv
0.010469955798264392,0.9531292620103388,0.006233896426028901,0.0015359713449955704,,,,,,pc3.csv
0.3402833232800922,0.3724051178587728,0.22269110851913826,0.004542326589547775,,,,,,synthetic_control.csv
0.1429067196311239,0.7492352326552583,0.08143015560128926,0.0020658059126904263,,,,,,php5s7Ep8.csv
0.015925085821148544,0.9652158112796096,0.0032149791105840586,0.00024260012363814761,,,,,,page-blocks.csv
0.0016437994705743807,0.9778617618263352,0.0007385593523490925,0.0009955507015265948,,,,,,phpcSeK3V.csv
0.0007494606344996857,0.9805892616557594,0.002342901549352477,0.00215446616763428,,,,,,php8Mz7BG.csv
0.17639605200589276,0.6897453031891221,0.11299973812479397,0.0015843032753511622,,,,,,php9HX2u8(2).csv
0.002988983771871902,0.9880113860255416,0.0018806069455493718,0.000768171534871295,,,,,,phpTJRsqa.csv
0.32429160334678103,0.5817439978726001,0.041459120725249834,0.002571214339208985,,,,,,dataset_42_soybean.csv
0.08249592143542904,0.8363080763254747,0.06002183426456656,0.0017345359077752432,,,,,,phpfrJpBS.csv
0.01335216911352883,0.9732387140847896,0.0044352578126015466,0.0007929163931192115,,,,,,churn.csv
0.005398271120854359,0.9401736483286248,0.005662065768020185,0.0027968563129856195,,,,,,phpEZ030X.csv
0.022265208562886843,0.943742971855512,0.012660832849606674,0.000841898138089121,,,,,,dataset_36_segment.csv
0.2728084453174789,0.534874324738001,0.171193964528729,0.0032481036834786092,,,,,,file7a97574fa9ae.csv
0.020024824736125667,0.9559638580179216,0.010277074820243192,0.002254585049021731,,,,,,jungle_chess_2pcs_raw_endgame_complete.csv
0.2912723374039917,0.4646170890526024,0.19571331874845568,0.005402910421909195,,,,,,php9xWOpn.csv
0.29229263382869336,0.3972999439122337,0.28399877521411343,0.00439803183425597,,,,,,kin8nm.csv
0.01705405352082186,0.9660677129373408,0.009880479174528195,0.0007744475795835612,,,,,,phpyM5ND4.csv
0.006478938739637949,0.9376828547044466,0.006659284215128568,0.0023951586848346344,,,,,,phpdo58hj.csv
0.05376821166733015,0.7917816146648599,0.022340171125838082,0.004679634158762271,0.0018546010776644747,,,,,arrhythmia.csv
0.03439731580581025,0.9249651470869308,0.01302297497908692,0.002335955587360195,,,,,,jm1.csv
