,AB_max,ET_max,RF_max,GB_max,DT_max,SVM_max
65,0.994722222,0.987222222,0.9863888888888892,0.9922222,0.9813888888888892,0.9925
66,0.960173475,0.956052685,0.9524630997022392,0.961510316855162,0.924788789711238,0.9079715
67,0.904166667,0.904166667,0.925,0.9041667,0.891666666666667,0.8791667
68,0.924494949,0.93459596,0.926767676767677,0.9111111111111108,0.7472222222222221,0.9260101
69,0.997655962,0.997636604,0.994423736787596,0.9976562,0.9635528292508472,0.9801684000000002
70,0.999521073,1.0,1.0,0.9995166,0.993274816091949,0.75761
71,0.682769231,0.604353925,0.651126209977662,0.6859609,0.67145859926249,0.7028835999999999
72,0.784270323,0.750002553,0.7727251838235291,0.7797232,0.770029105392157,0.7265063
73,0.8875,0.8833333329999999,0.883333333333333,0.8791667,0.891666666666667,0.9208333
74,0.976216889,0.976618284,0.97175158032268,0.975268,0.8567498587931172,0.9770244
75,1.0,1.0,1.0,1.0,0.999,1.0
76,0.815401732,0.8169857759999999,0.8123026055791421,0.8237624,0.7071595181353879,0.7305185000000001
77,0.8059455,0.81791127,0.82259345446915,0.8076687,0.809684817175779,0.7864044
78,0.78102288,0.782485361,0.7826799495274159,0.7803206,0.732447331603026,0.7541104000000001
79,0.9994444,1.0,0.9888888888888892,0.9888889,0.975555555555556,1.0
80,0.7259426,0.6767486340000001,0.7010245901639339,0.702623,0.7129371584699449,0.6505191
81,0.999267619,0.991444847,0.998533664365854,0.9992682921384928,0.997924501410114,0.9486828000000002
82,0.863285752,0.809622423,0.8444387177221251,0.8524762070717421,0.868642697033507,0.8487062
83,0.915612152,0.928746003,0.9188987868636108,0.90676996091569,0.765544896198162,0.9332991
84,0.817198234,0.822544632,0.825681368373252,0.82344,0.813448798731239,0.7865903000000001
85,0.925,0.9125,0.9125,0.9125,0.895833333333333,0.8791667
86,0.708333333,0.6125,0.75,0.7666666999999999,0.729166666666667,0.7125
87,0.975616796,0.969010376,0.967884125945048,0.971001,0.8690549706787459,0.9763562
88,0.828639195,0.829578975,0.826360565172476,0.8255244,0.77240512158636,0.8161273
89,0.988425926,0.983796296,0.979166666666667,0.9865741,0.945833333333333,0.8777778
90,0.974243598,0.975408186,0.9555575223377242,0.9762618207026852,0.901531420794006,0.9769327
91,0.7337350859999999,0.715719565,0.74198236722627,0.7399683000000001,0.748654841093865,0.695348959983106
92,1.0,0.986456044,0.9975,1.0,0.9526144688644692,0.9913049
93,0.6891414140000001,0.619695872,0.6122342995169079,0.6800549,0.618056653491436,0.6761375
94,0.8475,0.850833333,0.863692955436376,0.8508333,0.8475,0.836666666666667
95,0.8631935820000001,0.857803658,0.8556664887145742,0.8623999309868879,0.821506211180124,0.8177743000000001
96,0.946622475,0.950441919,0.943939393939394,0.9556976,0.9005050505050501,0.8967171999999999
97,0.7871212120000001,0.769621212,0.7559848484848491,0.7726515,0.772651515151515,0.6714394
98,0.9599619,0.958125896,0.952057926829268,0.9564946,0.933907893253739,0.9351186
